Highlighting;Indentation;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
Highlighted;Indented;1;1;1;true;2901;
Highlighted;Standard;1;1;1;true;2003;
None;Standard;1;1;1;true;1478;
None;Indented;1;1;1;true;1598;
None;Standard;1;2;2;true;2468;
Highlighted;Standard;1;2;2;true;1807;
Highlighted;Indented;1;3;3;true;1606;
None;Indented;1;1;1;true;1788;
Highlighted;Standard;1;1;1;true;1592;
Highlighted;Standard;1;1;1;true;1078;
None;Indented;1;1;1;true;1711;
Highlighted;Indented;1;3;3;true;1430;
Highlighted;Standard;1;2;2;true;1566;
None;Indented;1;1;1;true;1312;
None;Indented;1;2;2;true;1046;
Highlighted;Indented;1;1;1;true;1261;
None;Indented;1;0;0;true;2312;
None;Indented;1;2;2;true;1948;
Highlighted;Indented;1;1;1;true;1157;
Highlighted;Standard;1;2;2;true;1494;
Highlighted;Indented;1;0;0;true;1359;
Highlighted;Standard;1;1;1;true;2063;
None;Standard;1;0;0;true;1026;
Highlighted;Indented;1;0;0;true;2444;
Highlighted;Indented;1;0;0;true;1714;
None;Standard;1;2;2;true;2325;
Highlighted;Indented;1;3;3;true;1988;
None;Standard;1;2;1;false;3193;
None;Standard;1;2;2;true;1551;
None;Standard;1;2;2;true;2053;
None;Indented;1;2;2;true;2168;
None;Standard;1;2;1;false;2012;
None;Indented;1;0;0;true;1131;
None;Indented;1;2;2;true;1175;
Highlighted;Standard;1;2;2;true;1534;
Highlighted;Indented;1;4;4;true;1976;
None;Standard;1;2;2;true;1639;
Highlighted;Standard;1;2;2;true;978;
Highlighted;Indented;1;1;1;true;1041;
Highlighted;Indented;1;1;1;true;1118;
None;Indented;1;0;0;true;1462;
Highlighted;Standard;1;2;2;true;1366;
None;Indented;1;3;3;true;2338;
None;Standard;1;0;0;true;1461;
None;Indented;1;0;0;true;1752;
Highlighted;Indented;1;2;2;true;1092;
Highlighted;Indented;1;0;0;true;1666;
None;Standard;1;1;1;true;2416;
Highlighted;Indented;1;1;1;true;1781;
None;Indented;1;1;1;true;1098;
None;Standard;1;3;3;true;2634;
Highlighted;Indented;1;1;1;true;1797;
Highlighted;Indented;1;2;1;false;1213;
None;Standard;1;2;2;true;2142;
Highlighted;Standard;1;0;0;true;1388;
None;Indented;1;1;1;true;1920;
None;Indented;1;2;2;true;1079;
Highlighted;Standard;1;2;2;true;2270;
Highlighted;Standard;1;1;1;true;1252;
Highlighted;Standard;1;1;1;true;1260;
None;Indented;1;2;2;true;1096;
None;Standard;1;2;2;true;1857;
None;Standard;1;2;2;true;1555;
Highlighted;Indented;1;0;0;true;1384;
None;Indented;1;0;0;true;1344;
Highlighted;Indented;1;2;2;true;1242;
None;Indented;1;0;0;true;1675;
None;Standard;1;1;1;true;2561;
None;Standard;1;2;2;true;1514;
None;Standard;1;0;0;true;1392;
Highlighted;Indented;1;1;1;true;1948;
Highlighted;Indented;1;2;2;true;1269;
Highlighted;Indented;1;2;2;true;1788;
Highlighted;Indented;1;2;2;true;1134;
None;Standard;1;2;2;true;1952;
Highlighted;Indented;1;1;1;true;1566;
Highlighted;Standard;1;0;0;true;1369;
None;Standard;1;1;0;false;1135;
None;Indented;1;2;2;true;1732;
Highlighted;Standard;1;2;2;true;2016;
Highlighted;Standard;1;1;1;true;1606;
Highlighted;Indented;1;2;2;true;1693;
Highlighted;Indented;1;0;0;true;1016;
None;Indented;1;2;1;false;1286;
Highlighted;Standard;1;2;2;true;1498;
Highlighted;Indented;1;1;0;false;1065;
Highlighted;Indented;1;2;2;true;840;
None;Standard;1;2;2;true;2046;
Highlighted;Standard;1;1;0;false;1676;
None;Indented;1;2;2;true;1464;
Highlighted;Standard;1;1;0;false;1710;
None;Standard;1;2;2;true;2125;
Highlighted;Indented;1;2;2;true;1551;
None;Indented;1;1;1;true;1902;
None;Standard;1;0;0;true;1300;
Highlighted;Standard;1;1;1;true;1278;
None;Indented;1;1;1;true;1444;
None;Standard;1;3;3;true;2607;
Highlighted;Indented;1;2;2;true;1530;
None;Indented;1;0;0;true;1752;
None;Indented;1;1;1;true;1519;
Highlighted;Standard;1;1;1;true;1649;
Highlighted;Standard;1;1;1;true;1310;
None;Standard;1;2;2;true;2176;
Highlighted;Indented;1;2;2;true;1504;
None;Indented;1;1;1;true;2235;
None;Standard;1;2;1;false;1735;
None;Standard;1;0;0;true;1784;
Highlighted;Standard;1;1;1;true;1454;
None;Indented;1;1;1;true;2036;
None;Standard;1;1;1;true;2295;
Highlighted;Indented;1;1;1;true;1464;
Highlighted;Standard;1;2;2;true;1554;
None;Standard;1;0;0;true;902;
None;Indented;1;0;0;true;1822;
None;Indented;1;2;2;true;1369;
None;Indented;1;2;2;true;1464;
None;Standard;1;1;1;true;2156;
Highlighted;Indented;1;3;3;true;1386;
None;Standard;1;1;1;true;1311;
None;Indented;1;2;2;true;1413;
None;Indented;1;3;2;false;1400;
Highlighted;Indented;1;1;1;true;1172;
Highlighted;Standard;1;3;3;true;2450;
Highlighted;Indented;1;2;2;true;1186;
None;Indented;1;1;1;true;1437;
Highlighted;Indented;1;3;2;false;998;
Highlighted;Standard;1;3;2;false;1132;
None;Standard;1;0;0;true;1270;
Highlighted;Standard;1;1;0;false;1424;
None;Standard;1;3;3;true;1649;
None;Standard;1;1;1;true;1449;
None;Indented;1;2;2;true;1644;
Highlighted;Standard;1;1;1;true;1694;
Highlighted;Indented;1;0;0;true;1508;
None;Indented;1;0;0;true;1578;
None;Standard;1;2;2;true;2417;
Highlighted;Standard;1;0;0;true;1116;
Highlighted;Standard;1;1;1;true;1312;
None;Standard;1;0;0;true;1750;
None;Indented;1;1;1;true;1308;
Highlighted;Standard;1;2;2;true;1597;
None;Standard;1;0;0;true;1943;
Highlighted;Standard;1;0;0;true;1110;
Highlighted;Indented;1;1;1;true;1528;
None;Indented;1;2;2;true;1424;
Highlighted;Indented;1;2;2;true;1473;
None;Indented;1;2;2;true;1589;
Highlighted;Standard;1;2;2;true;1262;
Highlighted;Standard;1;1;0;false;1776;
Highlighted;Standard;1;2;2;true;1528;
None;Standard;1;3;3;true;1773;
None;Indented;1;1;1;true;1141;
Highlighted;Standard;1;1;0;false;1220;
None;Standard;1;2;2;true;2056;
Highlighted;Indented;1;1;1;true;1528;
None;Standard;1;1;1;true;1939;
None;Indented;1;2;2;true;1519;
None;Standard;1;2;2;true;1928;
Highlighted;Indented;1;2;2;true;1740;
Highlighted;Indented;1;2;2;true;1140;
None;Standard;1;1;0;false;1719;
None;Standard;1;0;0;true;1668;
Highlighted;Indented;1;1;1;true;2112;
Highlighted;Standard;1;3;3;true;1888;
Highlighted;Standard;1;0;0;true;1845;
None;Indented;1;1;1;true;2009;
None;Standard;1;2;2;true;2038;
Highlighted;Standard;1;3;3;true;2520;
Highlighted;Standard;1;2;2;true;1437;
None;Standard;1;1;1;true;1839;
Highlighted;Indented;1;2;2;true;1578;
None;Standard;1;1;1;true;1818;
Highlighted;Indented;1;3;3;true;1964;
None;Standard;1;0;0;true;1533;
None;Standard;1;0;0;true;2026;
Highlighted;Indented;1;2;2;true;1642;
Highlighted;Standard;1;3;3;true;1962;
None;Indented;1;1;1;true;1709;
Highlighted;Standard;1;1;0;false;2090;
None;Indented;1;2;2;true;1362;
Highlighted;Indented;1;1;1;true;1411;
None;Indented;1;0;0;true;2087;
Highlighted;Standard;1;0;0;true;1328;
None;Standard;1;1;1;true;1476;
Highlighted;Indented;1;1;1;true;1388;
None;Indented;1;1;1;true;1242;
Highlighted;Standard;1;2;1;false;1657;
Highlighted;Standard;1;3;3;true;1654;
None;Standard;1;1;1;true;2276;
Highlighted;Indented;1;0;0;true;1930;
None;Standard;1;0;0;true;2507;
None;Indented;1;1;1;true;1595;
Highlighted;Indented;1;1;1;true;1382;
Highlighted;Standard;1;1;1;true;1516;
Highlighted;Standard;1;3;3;true;1521;
None;Indented;1;0;0;true;1503;
None;Indented;1;0;0;true;1443;
Highlighted;Standard;1;1;1;true;1466;
Highlighted;Indented;1;1;1;true;2068;
None;Standard;1;2;2;true;1958;
None;Standard;1;0;0;true;1835;
None;Standard;1;1;1;true;1949;
Highlighted;Indented;1;2;2;true;1626;
None;Indented;1;0;0;true;1154;
None;Standard;1;0;0;true;1704;
None;Indented;1;2;2;true;1375;
Highlighted;Standard;1;2;1;false;1465;
Highlighted;Indented;1;1;1;true;1324;
Highlighted;Standard;1;2;2;true;1212;
Highlighted;Standard;1;1;1;true;1440;
Highlighted;Indented;1;0;0;true;1698;
Highlighted;Standard;1;0;0;true;1521;
None;Indented;1;3;3;true;1562;
Highlighted;Indented;1;1;1;true;1064;
Highlighted;Standard;1;0;0;true;1640;
Highlighted;Indented;1;0;0;true;1262;
None;Standard;1;2;2;true;2835;
Highlighted;Indented;1;0;0;true;1246;
Highlighted;Standard;1;2;2;true;1584;
None;Indented;1;1;1;true;1686;
None;Indented;1;4;4;true;1514;
None;Standard;1;1;0;false;2168;
Highlighted;Indented;1;1;1;true;1642;
Highlighted;Standard;1;2;2;true;1178;
Highlighted;Indented;1;2;2;true;1188;
None;Indented;1;1;1;true;988;
None;Indented;1;0;0;true;1291;
None;Indented;1;1;1;true;1395;
Highlighted;Standard;1;2;2;true;1622;
Highlighted;Indented;1;1;1;true;1312;
Highlighted;Standard;1;2;1;false;1750;
Highlighted;Standard;1;2;2;true;1529;
None;Standard;1;1;0;false;1113;
None;Indented;1;2;2;true;1554;
None;Indented;1;2;2;true;1536;
None;Indented;1;3;3;true;1416;
None;Standard;1;2;2;true;3349;
Highlighted;Standard;1;3;3;true;1648;
None;Standard;1;0;0;true;1534;
